Location,Area_sqft,Price,Price_BDT,Bedroom,Bathroom,Floor,For,Property_Type,URL
"Uttara, Dhaka",1437,BDT 1.45 Crore,14500000.0,3,2,8,Sell,Flat,https://brokeragebd.com/property/1437-sft-3-bedroom-flat-is-ready-for-sale-in-uttara-k8/
"Mirpur, Dhaka",1257,BDT 1.26 Crore,12600000.0,3,3,2,Sell,Flat,https://brokeragebd.com/property/1257-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur/
"Uttarkhan, Dhaka",935,BDT 53 Lakh,5300000.0,2,3,7,Sell,Flat,https://brokeragebd.com/property/945-sft-2-bedroom-flat-is-ready-for-sale-in-uttarkhan-h7-2/
"Dhanmondi, Dhaka",2395,BDT 6.68 Crore,66800000.0,3,3,12,Sell,Flat,https://brokeragebd.com/property/2395-sft-3-bedroom-flat-is-ready-for-sale-in-dhanmondi/
"Adabor, Dhaka",1125,BDT 85 Lakh,8500000.0,2,2,8,Sell,Flat,https://brokeragebd.com/property/960-sft-2-bedroom-flat-is-ready-for-sale-in-adabor-2/
"Mirpur, Dhaka",1166,BDT 1.53 Crore,15300000.0,3,3,9,Sell,Flat,https://brokeragebd.com/property/1166-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur-2/
"Mirpur, Dhaka",1166,BDT 1.53 Crore,15300000.0,3,3,9,Sell,Flat,https://brokeragebd.com/property/1166-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur/
"Mirpur, Dhaka",1567,BDT 2.03 Crore,20300000.0,3,3,6,Sell,Flat,https://brokeragebd.com/property/1567-sft-3-bedroom-flat-is-ready-for-sale-in-mirpur-c6/
"Bashundhara, Dhaka",1600,BDT 1.75 Crore,17500000.0,3,5,5,Sell,Flat,https://brokeragebd.com/property/1600-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara-a5/
"Vatara, Dhaka",1266,BDT 1.3 Crore,13000000.0,3,N/A,6,Sell,Flat,https://brokeragebd.com/property/1266-sft-3-bedroom-flat-is-ready-for-sale-in-vatara/
"Mohammadpur, Dhaka",2195,BDT 3 Crore,30000000.0,4,5,1,Sell,Flat,https://brokeragebd.com/property/2195-sft-4-bedroom-flat-is-ready-for-sale-in-mohammadpur/
"Bashundhara, Dhaka",1549,BDT 1.52 Crore,15200000.0,3,5,6,Sell,Flat,https://brokeragebd.com/property/1549-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara/
"Uttara, Dhaka",2308,BDT 3.5 Crore,35000000.0,4,2,5,Sell,Flat,https://brokeragebd.com/property/2308-sft-4-bedroom-flat-is-ready-for-sale-in-uttara/
"Bashundhara, Dhaka",2790,BDT 1.52 Crore,15200000.0,3,5,6,Sell,Flat,https://brokeragebd.com/property/2790-sft-3-bedroom-flat-is-ready-for-sale-in-bashundhara/
"Uttara, Dhaka",1340,BDT 1.35 Crore,13500000.0,3,2,2,Sell,Flat,https://brokeragebd.com/property/1340-sft-3-bedroom-flat-is-ready-for-sale-in-uttara/
"Gulshan, Dhaka",2522,BDT 7.74 Crore,77400000.0,3,4,7,Sell,Flat,https://brokeragebd.com/property/2522-sft-3-bedroom-flat-is-ready-for-sale-in-gulshan/
"Mirpur, Dhaka",972,BDT 1 Crore,10000000.0,2,3,4,Sell,Flat,https://brokeragebd.com/property/972-sft-2-bedroom-flat-is-ready-for-sale-in-mirpur-h2/
"Gulshan, Dhaka",4600,BDT 2.8 Lac Per Month,280000.0,4,4,6,Rent,Flat,https://brokeragebd.com/property/4600-sft-4-bedroom-flat-is-ready-for-rent-in-gulshan/
"Bashundhara, Dhaka",4400,BDT 1.7 Lakh Per Month,170000.0,5,5,5,Rent,Flat,https://brokeragebd.com/property/4400-sft-5-bedroom-flat-is-ready-for-rent-in-bashundhara/
"Gulshan, Dhaka",3750,BDT 2.7 Lakh Per Month,270000.0,4,4,7,Rent,Flat,https://brokeragebd.com/property/3750-sft-4-bedroom-flat-is-ready-for-rent-in-gulshan/
"Gulshan, Dhaka",3717,BDT 11.77 Crore,117700000.0,4,4,3,Sell,Flat,https://brokeragebd.com/property/3717-sft-4-bedroom-flat-is-ready-for-sale-in-gulshan/
"Gulshan, Dhaka",3470,BDT 2.2 Lakh Per Month,220000.0,4,4,1,Rent,Flat,https://brokeragebd.com/property/3470-sft-4-bedroom-flat-is-ready-for-rent-in-gulshan/
"Gulshan, Dhaka",3438,BDT 10.99 Crore,109900000.0,4,4,1,Sell,Flat,https://brokeragebd.com/property/3438-sft-4-bedroom-flat-is-ready-for-sale-in-gulshan-a1/
